   944172962Cristiano           Checci              Elmira              14905.00000000000000United States                607TRUE                
  2141330211Karlotte            Gerran              El Paso             88546.00000000000000United States                915TRUE                
   637566602Modesty             Cavie               Charlotte           28289.00000000000000United States                704TRUE                
   789907968Thorpe              Jorck               Jackson             39236.00000000000000United States                601TRUE                
  1851381813Angelika            Southerell          Beaverton           97075.00000000000000United States                503TRUE                
   775979805Dolores             Tackell             Amarillo            79171.00000000000000United States                401TRUE                
  1834648068Ari                 Secrett             Maple Plain         55572.00000000000000United States                763TRUE                
   408388161Yalonda             Burton              Sacramento          94250.00000000000000United States                916TRUE                
   508002966Edwin               Marley              El Paso             79999.00000000000000United States                915TRUE                
   622111736Tandi               Fredi               Iowa City           52245.00000000000000United States                319TRUE                
  1805923021Darbee              Perrington          Phoenix             85072.00000000000000United States                602TRUE                
  1300084480Harlie              Kiernan             Trenton             8650.000000000000000United States                609TRUE                
  2000825001Yule                Langstone           Austin              78732.00000000000000United States                512TRUE                
    89987861Ring                Watting             Syracuse            13205.00000000000000United States                315TRUE                
   631228748Tomaso              Edgworth            Richmond            23272.00000000000000United States                571TRUE                
  1410082369Tate                Padley              Tampa               33661.00000000000000United States                813TRUE                
  1031857524Florie              Philipard           Whittier            90605.00000000000000United States                626TRUE                
  2121962751Octavia             Rouff               Sacramento          94263.00000000000000United States                916TRUE                
  1706597223Kaine               Porcas              Lawrenceville       30245.00000000000000United States                229TRUE                
   864010273Delmer              Clarey              San Francisco       94154.00000000000000United States                415TRUE                
   887292720Lari                Hannant             Billings            59112.00000000000000United States                406TRUE                
  1787938239Zorina              Conen               Khawr Fakkān       *                   United Arab Emirates         204TRUE                
   259485918Hank                Fleeman             San Diego           92170.00000000000000United States                619TRUE                
  1189953269Rebecka             Josephov            Miami               33169.00000000000000United States                786TRUE                
  1531551181Patrice             Hanselmann          Naples              34108.00000000000000United States                239TRUE                
   882645153Roderick            Doick               Cumming             30130.00000000000000United States                404TRUE                
  1258732904Horace              Kiefer              Reno                89550.00000000000000United States                702TRUE                
   343705117Madison             Stillmann           Joliet              60435.00000000000000United States                815TRUE                
  2010783549Hansiain            Kynder              Pensacola           32505.00000000000000United States                850TRUE                
   362892342Blakeley            Alldred             Boston              2208.000000000000000United States                617TRUE                
  1611942098Hank                Tapner              Lansing             48912.00000000000000United States                517TRUE                
  1270361600Bernette            Howat               Sacramento          94273.00000000000000United States                916TRUE                
   609599291Merrill             Jankovic            High Point          27264.00000000000000United States                336TRUE                
  1949714381Arabelle            Gernier             Saint Paul          55188.00000000000000United States                651TRUE                
  1061907686Jess                Missington          Augusta             30905.00000000000000United States                706TRUE                
    89570758Gray                Chilver             Dayton              45440.00000000000000United States                937TRUE                
  1810812631Leontine            Caldeyroux          Akron               44315.00000000000000United States                330TRUE                
  1699244863Dex                 Doig                New Hyde Park       11044.00000000000000United States                516TRUE                
  2084874467Adham               Brunelli            Little Rock         72209.00000000000000United States                501TRUE                
   381408035Emilie              Dirr                Minneapolis         55458.00000000000000United States                612TRUE                
   899298710Mechelle            Mc Corley           Rochester           55905.00000000000000United States                507TRUE                
  1722364807Janeczka            Abate               Stamford            6912.000000000000000United States                203TRUE                
